Name,Sector,URL,URL2
Faisal Islamic Bank of Egypt USD (FAITA),Banking,https://www.marketwatch.com/investing/Stock/FAITA?countryCode=EG,https://www.marketwatch.com/investing/stock/faita/download-data?countrycode=eg&mod=mw_quote_tab
Fawry for Banking Technology & Electronic Payment (FWRY),Consumer Finance,https://www.marketwatch.com/investing/Stock/FWRY?countryCode=EG,https://www.marketwatch.com/investing/stock/fwry/download-data?countrycode=eg&mod=mw_quote_tab
Ferchem Misr Co. for Fertilizers & Chemicals (FERC),Chemicals,https://www.marketwatch.com/investing/Stock/FERC?countryCode=EG,https://www.marketwatch.com/investing/stock/ferc/download-data?countrycode=eg&mod=mw_quote_tab
First Investment & Real Estate Development Co. (FIRE),Real Estate Developers,https://www.marketwatch.com/investing/Stock/FIRE?countryCode=EG,https://www.marketwatch.com/investing/stock/fire/download-data?countrycode=eg&mod=mw_quote_tab
Gadwa for Industrial Development (GDWA),Finance Companies,https://www.marketwatch.com/investing/Stock/GDWA?countryCode=EG,https://www.marketwatch.com/investing/stock/gdwa/download-data?countrycode=eg&mod=mw_quote_tab
GB Corp. (GBCO),Automobiles,https://www.marketwatch.com/investing/Stock/GBCO?countryCode=EG,https://www.marketwatch.com/investing/stock/gbco/download-data?countrycode=eg&mod=mw_quote_tab
General Co. for Ceramics & Porcelain Products (PRCL),Housewares,https://www.marketwatch.com/investing/Stock/PRCL?countryCode=EG,https://www.marketwatch.com/investing/stock/prcl/download-data?countrycode=eg&mod=mw_quote_tab
General Co. for Land Reclamation Development & Reconstruction (AALR),Construction,https://www.marketwatch.com/investing/Stock/AALR?countryCode=EG,https://www.marketwatch.com/investing/stock/aalr/download-data?countrycode=eg&mod=mw_quote_tab
General Silos & Storage (GSSC),Transportation Services,https://www.marketwatch.com/investing/Stock/GSSC?countryCode=EG,https://www.marketwatch.com/investing/stock/gssc/download-data?countrycode=eg&mod=mw_quote_tab
Gharbia Islamic Housing Development (GIHD),Construction,https://www.marketwatch.com/investing/Stock/GIHD?countryCode=EG,https://www.marketwatch.com/investing/stock/gihd/download-data?countrycode=eg&mod=mw_quote_tab
Giza General Contracting & Real Estate Investment (GGCC),Construction,https://www.marketwatch.com/investing/Stock/GGCC?countryCode=EG,https://www.marketwatch.com/investing/stock/ggcc/download-data?countrycode=eg&mod=mw_quote_tab
GlaxoSmithKline S.A.E. (BIOC),Pharmaceuticals,https://www.marketwatch.com/investing/Stock/BIOC?countryCode=EG,https://www.marketwatch.com/investing/stock/bioc/download-data?countrycode=eg&mod=mw_quote_tab
Golden Coast Co. (GOCO),Hotels,https://www.marketwatch.com/investing/Stock/GOCO?countryCode=EG,https://www.marketwatch.com/investing/stock/goco/download-data?countrycode=eg&mod=mw_quote_tab
Golden Textiles & Clothes Wool (GTWL),Clothing,https://www.marketwatch.com/investing/Stock/GTWL?countryCode=EG,https://www.marketwatch.com/investing/stock/gtwl/download-data?countrycode=eg&mod=mw_quote_tab
Grand Investment Capital (GRCA),Securities,https://www.marketwatch.com/investing/Stock/GRCA?countryCode=EG,https://www.marketwatch.com/investing/stock/grca/download-data?countrycode=eg&mod=mw_quote_tab
